PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,1,1,"F1, ChildLow",female,10,0,0,T1,10,,S
2,1,1,"F2, ChildLow",female,11,0,0,T2,10,,S
3,1,1,"F3, ChildLow",female,12,0,0,T3,10,,S
4,1,1,"F4, ChildLow",female,13,0,0,T4,10,,S
5,1,1,"F5, ChildLow",female,14,0,0,T5,10,,S
6,1,1,"F6, ChildLow",female,15,0,0,T6,10,,S
7,1,1,"F7, ChildLow",female,16,0,0,T7,10,,S
8,1,1,"F8, ChildLow",female,17,0,0,T8,10,,S
9,1,1,"F9, ChildLow",female,10,0,0,T9,10,,S
10,1,1,"F10, ChildLow",female,11,0,0,T10,10,,S
11,1,1,"F11, ChildLow",female,12,0,0,T11,10,,S
12,1,1,"F12, ChildLow",female,13,0,0,T12,10,,S
13,1,1,"F13, ChildLow",female,14,0,0,T13,10,,S
14,1,1,"F14, ChildLow",female,15,0,0,T14,10,,S
15,1,1,"F15, ChildLow",female,16,0,0,T15,10,,S
16,1,1,"F16, ChildLow",female,17,0,0,T16,10,,S
17,1,1,"F17, ChildLow",female,10,0,0,T17,10,,S
18,1,1,"F18, ChildLow",female,11,0,0,T18,10,,S
19,1,1,"F19, ChildLow",female,12,0,0,T19,10,,S
20,1,1,"F20, ChildLow",female,13,0,0,T20,10,,S
21,1,1,"F21, ChildLow",female,14,0,0,T21,10,,S
22,1,1,"F22, ChildLow",female,15,0,0,T22,10,,S
23,1,1,"F23, ChildLow",female,16,0,0,T23,10,,S
24,1,1,"F24, ChildLow",female,17,0,0,T24,10,,S
25,1,1,"F25, ChildLow",female,10,0,0,T25,10,,S
26,1,1,"M1, AdultMid",male,25,0,0,T26,30,,S
27,1,1,"M2, AdultMid",male,26,0,0,T27,30,,S
28,1,1,"M3, AdultMid",male,27,0,0,T28,30,,S
29,1,1,"M4, AdultMid",male,28,0,0,T29,30,,S
30,1,1,"M5, AdultMid",male,29,0,0,T30,30,,S
31,1,1,"M6, AdultMid",male,30,0,0,T31,30,,S
32,1,1,"M7, AdultMid",male,31,0,0,T32,30,,S
33,1,1,"M8, AdultMid",male,32,0,0,T33,30,,S
34,1,1,"M9, AdultMid",male,33,0,0,T34,30,,S
35,1,1,"M10, AdultMid",male,34,0,0,T35,30,,S
36,1,1,"M11, AdultMid",male,25,0,0,T36,30,,S
37,1,1,"M12, AdultMid",male,26,0,0,T37,30,,S
38,1,1,"M13, AdultMid",male,27,0,0,T38,30,,S
39,1,1,"M14, AdultMid",male,28,0,0,T39,30,,S
40,1,1,"M15, AdultMid",male,29,0,0,T40,30,,S
41,1,1,"M16, AdultMid",male,30,0,0,T41,30,,S
42,1,1,"M17, AdultMid",male,31,0,0,T42,30,,S
43,1,1,"M18, AdultMid",male,32,0,0,T43,30,,S
44,1,1,"M19, AdultMid",male,33,0,0,T44,30,,S
45,1,1,"M20, AdultMid",male,34,0,0,T45,30,,S
46,1,1,"M21, AdultMid",male,25,0,0,T46,30,,S
47,1,1,"M22, AdultMid",male,26,0,0,T47,30,,S
48,1,1,"M23, AdultMid",male,27,0,0,T48,30,,S
49,1,1,"M24, AdultMid",male,28,0,0,T49,30,,S
50,1,1,"M25, AdultMid",male,29,0,0,T50,30,,S
51,1,3,"F1, OlderHigh",female,45,0,0,T51,60,,S
52,1,3,"F2, OlderHigh",female,46,0,0,T52,60,,S
53,1,3,"F3, OlderHigh",female,47,0,0,T53,60,,S
54,1,3,"F4, OlderHigh",female,48,0,0,T54,60,,S
55,1,3,"F5, OlderHigh",female,49,0,0,T55,60,,S
56,1,3,"F6, OlderHigh",female,50,0,0,T56,60,,S
57,1,3,"F7, OlderHigh",female,51,0,0,T57,60,,S
58,1,3,"F8, OlderHigh",female,52,0,0,T58,60,,S
59,1,3,"F9, OlderHigh",female,53,0,0,T59,60,,S
60,1,3,"F10, OlderHigh",female,54,0,0,T60,60,,S
61,1,3,"F11, OlderHigh",female,45,0,0,T61,60,,S
62,1,3,"F12, OlderHigh",female,46,0,0,T62,60,,S
63,1,3,"F13, OlderHigh",female,47,0,0,T63,60,,S
64,1,3,"F14, OlderHigh",female,48,0,0,T64,60,,S
65,1,3,"F15, OlderHigh",female,49,0,0,T65,60,,S
66,1,3,"F16, OlderHigh",female,50,0,0,T66,60,,S
67,1,3,"F17, OlderHigh",female,51,0,0,T67,60,,S
68,1,3,"F18, OlderHigh",female,52,0,0,T68,60,,S
69,1,3,"F19, OlderHigh",female,53,0,0,T69,60,,S
70,1,3,"F20, OlderHigh",female,54,0,0,T70,60,,S
71,1,3,"F21, OlderHigh",female,45,0,0,T71,60,,S
72,1,3,"F22, OlderHigh",female,46,0,0,T72,60,,S
73,1,3,"F23, OlderHigh",female,47,0,0,T73,60,,S
74,1,3,"F24, OlderHigh",female,48,0,0,T74,60,,S
75,1,3,"F25, OlderHigh",female,49,0,0,T75,60,,S
76,0,2,"Noise1, N",male,22,0,0,T76,15,,S
77,0,2,"Noise2, N",male,23,0,0,T77,15,,S
78,0,2,"Noise3, N",male,24,0,0,T78,15,,S
79,0,2,"Noise4, N",male,25,0,0,T79,15,,S
80,0,2,"Noise5, N",male,26,0,0,T80,15,,S
